Scen,Disc_Cost
AdvREST_Aluminum,6545.630931
AdvREST_Cobalt,6504.514246
AdvREST_Copper,6594.070598
AdvREST_Reference,6503.808655
AdvREST_Manganese,6511.014491
AdvREST_Nickel,6509.903506
AdvREST_Vanadium,6504.172115
Best_Reference,7342.589918
Best_Aluminum,7348.460267
Best_Boron,7342.590336
Best_Cadmium,7342.629025
Best_Chromium,7347.245542
Best_Cobalt,7343.448716
Best_Copper,7366.657728
Best_Dysprosium,7342.784215
Best_Gallium,7342.954805
Best_Hafnium,7343.671195
Best_Indium,7343.041893
Best_Lead,7342.62679
Best_Lithium,7344.108761
Best_Magnesium,7342.589918
Best_Manganese,7345.715577
Best_Molybdenum,7344.28126
Best_Neodymium,7342.982657
Best_Nickel,7346.031098
Best_Niobium,7342.589918
Best_Praseodymium,7342.797684
Best_Selenium,7342.62822
Best_Silicon,7344.572546
Best_Silver,7348.006103
Best_Steel,7392.288325
Best_Tantalum,7342.664188
Best_Tellurium,7343.486813
Best_Terbium,7343.431996
Best_Tin,7344.612256
Best_Titanium,7342.589918
Best_Tungsten,7342.59008
Best_Vanadium,7342.952167
Best_Zinc,7352.230689
Best_Zirconium,7342.712527
ConREST_Reference,7119.054399
ConREST_Cobalt,7119.716669
ConREST_Manganese,7122.871833
ConREST_Nickel,7122.782186
ConREST_Vanadium,7119.439607
Highdemand_Reference,7222.531995
Highdemand_Aluminum,7257.720848
Highdemand_Cobalt,7223.331573
Highdemand_Copper,7300.614418
Highdemand_Manganese,7227.060609
Highdemand_Nickel,7228.844061
Highdemand_Vanadium,7222.794772
HOG_Reference,6341.20345
HOG_Aluminum,6365.777547
HOG_Cobalt,6341.814953
HOG_Copper,6397.79894
HOG_Manganese,6344.620055
HOG_Vanadium,6341.447228
LOG_Reference,7537.805481
LOG_Aluminum,7579.103588
LOG_Cobalt,7538.721673
LOG_Copper,7629.285504
LOG_Manganese,7541.489955
LOG_Nickel,7541.731889
LOG_Vanadium,7538.340189
Lowdemand_Reference,6490.192331
Lowdemand_Aluminum,6520.495889
Lowdemand_Cobalt,6491.06453
Lowdemand_Copper,6556.375148
Lowdemand_Manganese,6494.706587
Lowdemand_Nickel,6494.873083
Lowdemand_Vanadium,6490.571541
Reference_Reference,6802.766782
Reference_Aluminum,6837.60408
Reference_Boron,6802.767499
Reference_Cadmium,6802.795169
Reference_Cobalt,6803.194516
Reference_Copper,6876.998059
Reference_Dysprosium,6802.956055
Reference_Gallium,6802.878861
Reference_Hafnium,6802.834874
Reference_Indium,6802.966583
Reference_Lead,6802.819562
Reference_Lithium,6801.5641
Reference_Magnesium,6802.799677
Reference_Manganese,6807.407829
Reference_Molybdenum,6806.239267
Reference_Neodymium,6803.131535
Reference_Nickel,6808.08108
Reference_Niobium,6802.766782
Reference_Praseodymium,6802.869922
Reference_Selenium,6802.793069
Reference_Silicon,6805.279437
Reference_Silver,6811.878877
Reference_Steel,6913.44682
Reference_Tantalum,6802.830648
Reference_Tellurium,6803.400693
Reference_Terbium,6803.166595
Reference_Tin,6805.581519
Reference_Titanium,6802.766782
Reference_Tungsten,6802.766793
Reference_Vanadium,6803.09712
Reference_Yttrium,6802.767057
Reference_Zinc,6820.037393
Reference_Zirconium,6802.80066
Restrict_Aluminum,7636.721708
Restrict_Boron,6802.707322
Restrict_Cadmium,6835.894233
Restrict_Chromium,7170.6555
Restrict_Cobalt,6868.255821
Restrict_Copper,7661.611046
Restrict_Dysprosium,6803.171459
Restrict_Gallium,6802.572578
Restrict_Hafnium,6802.794203
Restrict_Indium,6802.383608
Restrict_Lead,6840.499178
Restrict_Lithium,6822.192235
Restrict_Magnesium,6807.411843
Restrict_Manganese,7375.518356
Restrict_Molybdenum,6856.065854
Restrict_Neodymium,6815.693039
Restrict_Nickel,7059.671692
Restrict_Niobium,6802.794203
Restrict_Selenium,6802.765849
Restrict_Silicon,7063.483208
Restrict_Silver,6817.65768
Restrict_Steel,7967.784882
Restrict_Tantalum,6803.257976
Restrict_Tellurium,6826.318182
Restrict_Tin,6954.114441
Restrict_Titanium,6802.794203
Restrict_Tungsten,6802.796812
Restrict_Vanadium,6881.016834
Restrict_Yttrium,6802.794203
Restrict_Zinc,7112.797751
Restrict_Zirconium,6802.91469
Worst_Reference,7593.497731
Worst_Aluminum,7629.38235
Worst_Boron,7593.497836
Worst_Cadmium,7593.298047
Worst_Chromium,7599.406306
Worst_Copper,7677.236518
Worst_Dysprosium,7593.637755
Worst_Gallium,7592.813611
Worst_Hafnium,7593.532946
Worst_Indium,7592.507994
Worst_Lead,7593.415166
Worst_Lithium,7594.080562
Worst_Magnesium,7593.497195
Worst_Manganese,7597.195883
Worst_Molybdenum,7596.613496
Worst_Neodymium,7593.765107
Worst_Nickel,7597.838901
Worst_Niobium,7593.497731
Worst_Praseodymium,7593.602836
Worst_Selenium,7593.340264
Worst_Silicon,7594.992136
Worst_Silver,7602.785656
Worst_Steel,7714.049532
Worst_Tantalum,7593.575403
Worst_Tellurium,7591.669855
Worst_Terbium,7594.04369
Worst_Tin,7594.817475
Worst_Titanium,7593.497731
Worst_Tungsten,7593.497738
Worst_Vanadium,7593.758163
Worst_Yttrium,7593.497983
Worst_Zinc,7615.072592
Worst_Zirconium,7593.503664
